"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1",6843285,6843531,247,"*","Distal Intergenic",1,6846369,6848103,1735,1,"AT1G19800","AT1G19800.1",-2838
"1",6844819,6845133,315,"*","Promoter (1-2kb)",1,6846369,6848103,1735,1,"AT1G19800","AT1G19800.1",-1236
"1",6916713,6916797,85,"*","Promoter (<=1kb)",1,6914613,6916805,2193,2,"AT1G19920","AT1G19920.1",8
"1",7088207,7088967,761,"*","Promoter (<=1kb)",1,7088003,7089606,1604,2,"AT1G20450","AT1G20450.1",639
"1",7145013,7145061,49,"*","Promoter (<=1kb)",1,7144119,7146540,2422,1,"AT1G20620","AT1G20620.4",894
"1",7145136,7145237,102,"*","Promoter (1-2kb)",1,7144119,7146540,2422,1,"AT1G20620","AT1G20620.4",1017
"1",7341689,7341746,58,"*","Distal Intergenic",1,7337819,7339437,1619,1,"AT1G21000","AT1G21000.2",3870
"1",7384690,7384787,98,"*","Promoter (<=1kb)",1,7384629,7386558,1930,1,"AT1G21090","AT1G21090.1",61
"1",7453705,7453769,65,"*","Promoter (1-2kb)",1,7453236,7455009,1774,2,"AT1G21310","AT1G21310.1",1240
"1",7454507,7454528,22,"*","Promoter (<=1kb)",1,7453236,7455009,1774,2,"AT1G21310","AT1G21310.1",481
"1",7461909,7461962,54,"*","Distal Intergenic",1,7462834,7465334,2501,2,"AT1G21320","AT1G21320.1",3372
"1",7513871,7513984,114,"*","Promoter (<=1kb)",1,7511850,7513361,1512,2,"AT1G21460","AT1G21460.1",-510
"1",7514991,7515195,205,"*","Promoter (1-2kb)",1,7511850,7513361,1512,2,"AT1G21460","AT1G21460.1",-1630
"1",7609681,7609703,23,"*","Promoter (<=1kb)",1,7610398,7612682,2285,1,"AT1G21670","AT1G21670.1",-695
"1",7610388,7610470,83,"*","Promoter (<=1kb)",1,7610398,7612682,2285,1,"AT1G21670","AT1G21670.1",0
"1",7641213,7641309,97,"*","Promoter (<=1kb)",1,7641002,7641094,93,2,"AT1G21738","AT1G21738.1",-119
"1",7663744,7664031,288,"*","Promoter (1-2kb)",1,7661118,7662608,1491,2,"AT1G21830","AT1G21830.1",-1136
"1",7765706,7765957,252,"*","Promoter (1-2kb)",1,7767924,7770055,2132,1,"AT1G22040","AT1G22040.1",-1967
"1",7832913,7833045,133,"*","Distal Intergenic",1,7828328,7830392,2065,2,"AT1G22180","AT1G22180.2",-2521
"1",7930422,7930697,276,"*","Promoter (<=1kb)",1,7927428,7930657,3230,2,"AT1G22460","AT1G22460.1",0
"1",8075586,8075876,291,"*","Promoter (<=1kb)",1,8074231,8075037,807,2,"AT1G22810","AT1G22810.1",-549
"1",8143294,8143458,165,"*","Promoter (<=1kb)",1,8143404,8145070,1667,1,"AT1G23000","AT1G23000.1",0
"1",8144268,8144362,95,"*","Promoter (<=1kb)",1,8143404,8145070,1667,1,"AT1G23000","AT1G23000.1",864
"1",8144426,8144427,2,"*","Promoter (1-2kb)",1,8143404,8145070,1667,1,"AT1G23000","AT1G23000.1",1022
"1",8145222,8145279,58,"*","Promoter (1-2kb)",1,8143404,8145070,1667,1,"AT1G23000","AT1G23000.1",1818
"1",8282335,8282390,56,"*","Promoter (<=1kb)",1,8279588,8281891,2304,2,"AT1G23330","AT1G23330.1",-444
"1",8298101,8298563,463,"*","Promoter (1-2kb)",1,8295185,8296923,1739,2,"AT1G23360","AT1G23360.3",-1178
"1",8298976,8299112,137,"*","Intron (AT1G23380.2/AT1G23380, intron 3 of 4)",1,8295185,8296923,1739,2,"AT1G23360","AT1G23360.3",-2053
"1",8305202,8305540,339,"*","Distal Intergenic",1,8297291,8302651,5361,2,"AT1G23380","AT1G23380.1",-2551
"1",8306123,8306183,61,"*","Distal Intergenic",1,8297291,8302651,5361,2,"AT1G23380","AT1G23380.1",-3472
"1",8525102,8525211,110,"*","Promoter (1-2kb)",1,8523247,8524929,1683,1,"AT1G24095","AT1G24095.1",1855
"1",8594944,8595226,283,"*","Promoter (<=1kb)",1,8593642,8595909,2268,2,"AT1G24260","AT1G24260.1",683
"1",8598469,8599072,604,"*","Promoter (1-2kb)",1,8600465,8603801,3337,1,"AT1G24265","AT1G24265.2",-1393
"1",8717736,8718032,297,"*","Distal Intergenic",1,8720309,8720721,413,1,"AT1G24600","AT1G24600.1",-2277
"1",8719285,8719627,343,"*","Promoter (<=1kb)",1,8720309,8720721,413,1,"AT1G24600","AT1G24600.1",-682
"1",8726959,8727274,316,"*","Promoter (<=1kb)",1,8725883,8727212,1330,2,"AT1G24625","AT1G24625.1",0
"1",8839652,8840092,441,"*","Promoter (<=1kb)",1,8836835,8839549,2715,2,"AT1G25220","AT1G25220.2",-103
"1",8852789,8852879,91,"*","Distal Intergenic",1,8853959,8855872,1914,2,"AT1G25260","AT1G25260.1",2993
"1",8982334,8982430,97,"*","Promoter (<=1kb)",1,8981677,8983041,1365,2,"AT1G25560","AT1G25560.1",611
"1",8983654,8984247,594,"*","Promoter (<=1kb)",1,8981677,8983041,1365,2,"AT1G25560","AT1G25560.1",-613
"1",8986045,8986089,45,"*","Distal Intergenic",1,8981677,8983041,1365,2,"AT1G25560","AT1G25560.1",-3004
"1",9101293,9101301,9,"*","Promoter (1-2kb)",1,9098757,9099754,998,2,"AT1G26300","AT1G26300.2",-1539
"1",9103531,9103611,81,"*","Promoter (<=1kb)",1,9100153,9103603,3451,2,"AT1G26310","AT1G26310.1",0
"1",9258652,9258705,54,"*","Promoter (<=1kb)",1,9259605,9261313,1709,1,"AT1G26770","AT1G26770.1",-900
"1",9264138,9264720,583,"*","Promoter (<=1kb)",1,9264404,9264580,177,1,"AT1G26773","AT1G26773.1",0
"1",9265271,9265479,209,"*","Promoter (<=1kb)",1,9264404,9264580,177,1,"AT1G26773","AT1G26773.1",867
"1",9267061,9267477,417,"*","Distal Intergenic",1,9264404,9264580,177,1,"AT1G26773","AT1G26773.1",2657
"1",9269902,9270195,294,"*","Promoter (<=1kb)",1,9271029,9272128,1100,1,"AT1G26780","AT1G26780.1",-834
"1",9408316,9408365,50,"*","Exon (AT1G27100.1/AT1G27100, exon 2 of 3)",1,9403900,9406256,2357,2,"AT1G27090","AT1G27090.1",-2060
"1",9408662,9408680,19,"*","Intron (AT1G27100.1/AT1G27100, intron 1 of 2)",1,9403900,9406256,2357,2,"AT1G27090","AT1G27090.1",-2406
"1",9648257,9648931,675,"*","Promoter (<=1kb)",1,9648141,9649073,933,2,"AT1G27730","AT1G27730.1",142
"1",9674161,9674302,142,"*","Promoter (1-2kb)",1,9671638,9676157,4520,2,"AT1G27770","AT1G27770.1",1855
"1",9696325,9696684,360,"*","Promoter (<=1kb)",1,9693008,9696364,3357,2,"AT1G27840","AT1G27840.2",0
"1",9777906,9778185,280,"*","Promoter (<=1kb)",1,9775528,9777810,2283,2,"AT1G28050","AT1G28050.1",-96
"1",9949924,9950017,94,"*","Promoter (1-2kb)",1,9951848,9952740,893,1,"AT1G28360","AT1G28360.1",-1831
"1",9950085,9950245,161,"*","Promoter (1-2kb)",1,9951848,9952740,893,1,"AT1G28360","AT1G28360.1",-1603
"1",9950690,9951104,415,"*","Promoter (<=1kb)",1,9951848,9952740,893,1,"AT1G28360","AT1G28360.1",-744
"1",9951713,9951759,47,"*","Promoter (<=1kb)",1,9951848,9952740,893,1,"AT1G28360","AT1G28360.1",-89
"1",9990433,9990844,412,"*","Distal Intergenic",1,9992986,9994642,1657,2,"AT1G28430","AT1G28430.1",3798
"1",9990963,9991012,50,"*","Distal Intergenic",1,9992986,9994642,1657,2,"AT1G28430","AT1G28430.1",3630
"1",10000362,10000640,279,"*","3' UTR",1,10003150,10003540,391,1,"AT1G28447","AT1G28447.1",-2510
"1",10065557,10065734,178,"*","Distal Intergenic",1,10061223,10063460,2238,2,"AT1G28630","AT1G28630.3",-2097
"1",10228851,10228951,101,"*","Promoter (1-2kb)",1,10230087,10231142,1056,1,"AT1G29270","AT1G29270.1",-1136
"1",10353901,10354162,262,"*","Downstream (<=300bp)",1,10355703,10356482,780,2,"AT1G29640","AT1G29640.1",2320
"1",10365055,10365305,251,"*","Distal Intergenic",1,10371839,10373766,1928,1,"AT1G29660","AT1G29660.1",-6534
"1",10504827,10504891,65,"*","Promoter (<=1kb)",1,10503280,10504843,1564,2,"AT1G29980","AT1G29980.2",0
"1",10520314,10520325,12,"*","Promoter (<=1kb)",1,10521120,10521215,96,2,"AT1G30016","AT1G30016.1",890
"1",10520392,10520502,111,"*","Promoter (<=1kb)",1,10521120,10521215,96,2,"AT1G30016","AT1G30016.1",713
"1",10521101,10521201,101,"*","Promoter (<=1kb)",1,10521120,10521215,96,2,"AT1G30016","AT1G30016.1",14
"1",10566050,10566115,66,"*","Distal Intergenic",1,10559561,10561423,1863,2,"AT1G30090","AT1G30090.1",-4627
"1",10566193,10566249,57,"*","Distal Intergenic",1,10559561,10561423,1863,2,"AT1G30090","AT1G30090.1",-4770
"1",10678968,10679242,275,"*","Promoter (1-2kb)",1,10680246,10682954,2709,1,"AT1G30320","AT1G30320.1",-1004
"1",10692977,10693346,370,"*","Distal Intergenic",1,10685822,10690838,5017,2,"AT1G30330","AT1G30330.2",-2139
"1",10715619,10715740,122,"*","Promoter (<=1kb)",1,10715665,10718997,3333,1,"AT1G30360","AT1G30360.1",0
"1",10793161,10793258,98,"*","Distal Intergenic",1,10788226,10790125,1900,2,"AT1G30475","AT1G30475.4",-3036
"1",10794967,10795240,274,"*","Distal Intergenic",1,10788226,10790125,1900,2,"AT1G30475","AT1G30475.4",-4842
"1",10801934,10802378,445,"*","Promoter (<=1kb)",1,10796135,10800961,4827,2,"AT1G30490","AT1G30490.1",-973
"1",11033733,11034069,337,"*","Distal Intergenic",1,11036180,11037508,1329,1,"AT1G30950","AT1G30950.1",-2111
"1",11067656,11067954,299,"*","Promoter (<=1kb)",1,11064583,11067201,2619,2,"AT1G31030","AT1G31030.1",-455
"1",11622065,11622145,81,"*","Distal Intergenic",1,11625700,11630626,4927,2,"AT1G32240","AT1G32240.1",8481
"1",11662362,11662449,88,"*","Promoter (<=1kb)",1,11661815,11662122,308,1,"AT1G32337","AT1G32337.1",547
"1",11799035,11799370,336,"*","Promoter (1-2kb)",1,11798810,11800988,2179,2,"AT1G32640","AT1G32640.1",1618
"1",11799430,11799569,140,"*","Promoter (1-2kb)",1,11798810,11800988,2179,2,"AT1G32640","AT1G32640.1",1419
"1",11799726,11799839,114,"*","Promoter (1-2kb)",1,11798810,11800988,2179,2,"AT1G32640","AT1G32640.1",1149
"1",11799911,11800811,901,"*","Promoter (<=1kb)",1,11798810,11800988,2179,2,"AT1G32640","AT1G32640.1",177
"1",11809947,11809967,21,"*","Promoter (<=1kb)",1,11810557,11810631,75,2,"AT1G32650","AT1G32650.1",664
"1",11928824,11929193,370,"*","Promoter (<=1kb)",1,11928807,11929302,496,1,"AT1G32920","AT1G32920.1",17
"1",11929337,11929430,94,"*","Promoter (<=1kb)",1,11928807,11929302,496,1,"AT1G32920","AT1G32920.1",530
"1",12055008,12055111,104,"*","Promoter (<=1kb)",1,12051471,12054546,3076,2,"AT1G33240","AT1G33240.1",-462
"1",12070426,12070506,81,"*","Promoter (<=1kb)",1,12068084,12070374,2291,2,"AT1G33270","AT1G33270.2",-52
"1",12132821,12132826,6,"*","Distal Intergenic",1,12127389,12130407,3019,2,"AT1G33440","AT1G33440.1",-2414
"1",12132880,12132888,9,"*","Distal Intergenic",1,12127389,12130407,3019,2,"AT1G33440","AT1G33440.1",-2473
"1",12292452,12292501,50,"*","Promoter (1-2kb)",1,12291258,12292501,1244,1,"AT1G33855","AT1G33855.1",1194
"1",12475001,12475045,45,"*","Distal Intergenic",1,12472868,12473754,887,1,"AT1G34245","AT1G34245.1",2133
"1",13447974,13448054,81,"*","Promoter (1-2kb)",1,13446062,13447625,1564,1,"AT1G36040","AT1G36040.1",1912
"1",13513438,13513520,83,"*","Promoter (1-2kb)",1,13509837,13514564,4728,2,"AT1G36120","AT1G36120.1",1044
"1",13517523,13517572,50,"*","Exon (AT1G36130.1/AT1G36130, exon 1 of 1)",1,13509837,13514564,4728,2,"AT1G36120","AT1G36120.1",-2959
"1",13574297,13574330,34,"*","Promoter (1-2kb)",1,13574382,13576085,1704,2,"AT1G36190","AT1G36190.1",1755
"1",13595686,13595734,49,"*","Promoter (1-2kb)",1,13594514,13597863,3350,1,"AT1G36210","AT1G36210.1",1172
"1",13650463,13650521,59,"*","Promoter (1-2kb)",1,13647773,13652173,4401,2,"AT1G36300","AT1G36300.1",1652
"1",13660864,13660891,28,"*","Promoter (<=1kb)",1,13660680,13665533,4854,1,"AT1G36305","AT1G36305.1",184
"1",13661237,13661339,103,"*","Promoter (<=1kb)",1,13660680,13665533,4854,1,"AT1G36305","AT1G36305.1",557
"1",13663935,13664010,76,"*","Exon (AT1G36305.1/AT1G36305, exon 1 of 1)",1,13660680,13665533,4854,1,"AT1G36305","AT1G36305.1",3255
"1",13708458,13708507,50,"*","Promoter (<=1kb)",1,13707880,13708633,754,1,"AT1G36395","AT1G36395.1",578
"1",13778910,13778969,60,"*","Distal Intergenic",1,13782102,13784776,2675,2,"AT1G36530","AT1G36530.1",5807
"1",13885172,13885216,45,"*","Promoter (<=1kb)",1,13884483,13888886,4404,1,"AT1G36720","AT1G36720.1",689
"1",13885540,13885631,92,"*","Promoter (1-2kb)",1,13884483,13888886,4404,1,"AT1G36720","AT1G36720.1",1057
"1",13889095,13889156,62,"*","Downstream (<=300bp)",1,13884483,13888886,4404,1,"AT1G36720","AT1G36720.1",4612
"1",13942805,13942859,55,"*","Exon (AT1G36795.1/AT1G36795, exon 1 of 1)",1,13942799,13945667,2869,2,"AT1G36795","AT1G36795.1",2808
"1",13942915,13942950,36,"*","Exon (AT1G36795.1/AT1G36795, exon 1 of 1)",1,13942799,13945667,2869,2,"AT1G36795","AT1G36795.1",2717
"1",13952169,13952284,116,"*","Promoter (1-2kb)",1,13950803,13953811,3009,1,"AT1G36810","AT1G36810.1",1366
"1",13952508,13952539,32,"*","Promoter (1-2kb)",1,13950803,13953811,3009,1,"AT1G36810","AT1G36810.1",1705
"1",14172381,14172404,24,"*","Promoter (<=1kb)",1,14170351,14172041,1691,2,"AT1G37140","AT1G37140.2",-340
"1",14206168,14206250,83,"*","Promoter (<=1kb)",1,14201054,14206371,5318,2,"AT1G37200","AT1G37200.1",121
"1",14337656,14337730,75,"*","Promoter (1-2kb)",1,14339343,14340227,885,1,"AT1G38194","AT1G38194.1",-1613
"1",14408891,14408942,52,"*","Distal Intergenic",1,14403154,14406576,3423,2,"AT1G38300","AT1G38300.1",-2315
"1",14502836,14502918,83,"*","Promoter (1-2kb)",1,14501393,14505229,3837,1,"AT1G38460","AT1G38460.1",1443
"1",14504617,14504679,63,"*","Promoter (1-2kb)",1,14506540,14507184,645,1,"AT1G38550","AT1G38550.1",-1861
"1",14509542,14509647,106,"*","Promoter (1-2kb)",1,14510884,14511342,459,2,"AT1G38630","AT1G38630.1",1695
